Date,Symbol,Close,Volume
2024-01-02,A,138.75,1441600.0
2024-01-03,A,131.16,2074500.0
2024-01-04,A,131.0,2446600.0
2024-01-05,A,130.56,1394000.0
2024-01-08,A,133.38,1311400.0
2024-01-09,A,130.68,1435000.0
2024-01-10,A,131.09,1326300.0
2024-01-11,A,129.68,2060500.0
2024-01-12,A,130.54,1285200.0
2024-01-16,A,130.53,1382100.0
2024-01-17,A,128.12,1257400.0
2024-01-18,A,130.46,1404800.0
2024-01-19,A,131.22,1523300.0
2024-01-22,A,132.55,1512300.0
2024-01-23,A,131.64,854900.0
2024-01-24,A,129.78,1141900.0
2024-01-25,A,129.88,1120900.0
2024-01-26,A,130.99,1319800.0
2024-01-29,A,132.83,1407200.0
2024-01-30,A,134.28,1428700.0
2024-01-31,A,130.1,1101400.0
2024-02-01,A,133.05,862000.0
2024-02-02,A,132.97,1066300.0
2024-02-05,A,132.82,2374500.0
2024-02-06,A,135.86,1766600.0
2024-02-07,A,132.79,1758000.0
2024-02-08,A,134.07,1352500.0
2024-02-09,A,133.34,909700.0
2024-02-12,A,132.31,1231800.0
2024-02-13,A,129.76,1031100.0
2024-02-14,A,132.24,1405200.0
2024-02-15,A,134.75,1514500.0
2024-02-16,A,134.84,1066800.0
2024-02-20,A,134.14,1563900.0
2024-02-21,A,135.33,1134700.0
2024-02-22,A,132.02,2664400.0
2024-02-23,A,132.03,1878000.0
2024-02-26,A,131.49,1677500.0
2024-02-27,A,132.55,1772700.0
2024-02-28,A,137.01,2537100.0
2024-02-29,A,137.36,2622600.0
2024-03-01,A,139.06,1531000.0
2024-03-04,A,142.86,2169200.0
2024-03-05,A,144.35,2622500.0
2024-03-06,A,146.22,2357900.0
2024-03-07,A,149.31,1942900.0
2024-03-08,A,147.87,1588300.0
2024-03-11,A,147.29,1397600.0
2024-03-12,A,147.84,1192300.0
2024-03-13,A,147.82,2231500.0
2024-03-14,A,145.21,2098200.0
2024-03-15,A,147.48,3775500.0
2024-03-18,A,146.09,2281300.0
2024-03-19,A,147.39,1976200.0
2024-03-20,A,147.28,1526500.0
2024-03-21,A,148.74,1574200.0
2024-03-22,A,147.45,1076600.0
2024-03-25,A,145.56,1710500.0
2024-03-26,A,144.41,2021000.0
2024-03-27,A,147.37,1212200.0
2024-03-28,A,145.51,2176500.0
2024-04-01,A,145.56,968300.0
2024-04-02,A,144.17,1376500.0
2024-04-03,A,143.73,1211200.0
2024-04-04,A,141.34,1183900.0
2024-04-05,A,144.12,1655800.0
2024-04-08,A,144.46,1247300.0
